nomeUnidade,classification
"0POSSE - 1ª VARA (CÍVEL, CRIMINAL %u2013 CRIMES EM GERAL E EXECUÇÕES PENAIS, DA INFÂNCIA E DA JUVENTUDE)"," %u2013 | criminal  | juventude | geral | crimes,execucoes | infancia,penais | civel | vara"
0 CEJUSC - Abaeté (Pré-Processual), abaete | solucao  | judicial | conflitos | cidadania | pre | processual | centro
 CEJUSC - PRE-PROCESSUAL - POSTO SAUDE-ABRAMGE," abramge | solucao  | judicial | conflitos | cidadania | posto,pre | processual | centro"
 CEJUSC - PRE-PROCESSUAL - ACE, ace | solucao  | judicial | conflitos | cidadania | pre | processual | centro
"VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO, ACIDENTE DE TRABALHO E FAZENDA PÚBLICA - IBOTIRAMA"," acidente | registro,relativos  | feitos,publica,publico | relacoes,trabalho | comerciais | consumo,fazenda | civeis | consumidor,vara"
"VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, REGISTRO PÚBLICO, ACIDENTE DE TRABALHO E FAZENDA PÚBLICA - RIACHAO DO JACUIPE"," acidente | registro,relativos  | feitos,publica,publico | relacoes,trabalho | comerciais | consumo,fazenda | civeis | vara"
"VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, REGISTRO PÚBLICO, ACIDENTE DE TRABALHO E FAZENDA PÚBLICA - SANTA MARIA DA VITORIA"," acidente | registro,relativos  | feitos,publica,publico | relacoes,trabalho | comerciais | consumo,fazenda | civeis | vara"
"VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, REGISTRO PÚBLICO, ACIDENTE DE TRABALHO E FAZENDA PÚBLICA - MATA DE SAO JOAO"," acidente | registro,relativos  | feitos,publica,publico | relacoes,trabalho | comerciais | consumo,fazenda | civeis | vara"
"VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, REGISTRO PÚBLICO, ACIDENTE DE TRABALHO E FAZENDA PÚBLICA - MATA DE SAO JOAO"," acidente | registro,relativos  | feitos,publica,publico | relacoes,trabalho | comerciais | consumo,fazenda | civeis | vara"
"VARA DOS FEITOS RELATIVOS AS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, REGISTRO PÚBLICO, ACIDENTE DE TRABALHO E FAZENDA PÚBLICA - BARRA"," acidente | registro,relativos  | feitos,publica,publico | relacoes,trabalho | comerciais | consumo,fazenda | civeis | vara"
"1VARA DOS FEITOS RELATIVOS ÀS RELAÇÕES DE CONSUMO, CÍVEIS, COMERCIAIS, CONSUMIDOR, REGISTRO PÚBLICO E ACIDENTE DE TRABALHO - CASA NOVA"," acidente | registro,relativos  | feitos,publico | casa,relacoes,trabalho | comerciais | consumo | civeis | consumidor"
